pais;scarlett id;tipo de documento;estado de validaciones;proveedor;proveedor id;fecha de recepción;asignación de sap sku;estado integración de SAP;estado de conciliacion;estado de las solicitudes;orden de compra;fecha de emision;Número de envío;estado de envío;Vertical o vendor;Monto;Estado Integración SAP final;Estado en Jira
México;99eec3bd-7e49-4cd4-a942-bdc7460dabbe;Factura;Sin errores;COMERCIO EXCELENTE NORTE SUR;9600026684;22-01-2025;Completa;Ingresada;Por procesar; ;4000075924;22-01-2025;36745988;Confirmado;449695682;383803.42;Ingresada;Inbound no Cerrado
México;C583774F-E79F-40AD-BA59-91BBFCA0649D;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;Contabilización manual forzada;Con diferencias; ;4000070284;30-11-2024;35020621;Cerrado con cambios;466063253;57634.65;Contabilizada manualmente;Done - Contabilizada manualmente
México;C86C30AE-A1A7-4EF3-ADB4-7626D920B6A0;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000070284;30-11-2024;35020621;Cerrado con cambios;466063253;8170.49;Error de contabilización;En curso FinOps - Pendiente de revisión
México;8A26C41C-4312-4ABF-94AF-E234705BE488;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000071205;30-11-2024;34949401;Cerrado con cambios;466063253;582756.49;Error de contabilización;En curso FinOps - Pendiente de revisión
México;74C1FA26-8AC9-43D3-8B01-08EB36F63827;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000071205;30-11-2024;34949401;Cerrado con cambios;466063253;59450.75;Error de contabilización;En curso FinOps - Pendiente de revisión
México;F0246C57-D8DF-11EF-834A-47FADE6AD0CE;Factura;Sin errores;JUGUETES FAMOSA;9500123969;22-01-2025;Completa;Ingresada;Por procesar; ;4000075093;22-01-2025;37350320;Confirmado;481988724;31691.2;Ingresada;Inbound no Cerrado
México;3B7F0400-EE79-41B4-A8CE-8BE5977E1FB6;Factura;Sin errores;STAEDTLER DE MEXICO;9500141011;22-01-2025;Completa;Ingresada;Por procesar; ;4000076869;22-01-2025;37084014;Confirmado;481988724;7462.98;Ingresada;Inbound no Cerrado
México;24E102B5-B480-499B-9048-73EB294DFAA4;Factura;Con alertas;BANDAI CORPORACION MEXICO;9500000398;22-01-2025;Incompleta;Por procesar;Por procesar; ;4000076167;14-01-2025;36809889;Confirmado;481988724;196209.84;Por procesar;Inbound no Cerrado
México;8880A308-D43D-11EF-ADDC-D125C0397CA8;Nota de crédito;Con alertas;PLAYMOBIL MEXICO;9500000151;22-01-2025;Incompleta;Por procesar;Por procesar; ;4000074343;16-01-2025;36193830;Cerrado con cambios;481988724;27879.03;Por procesar;No aplica
México;B06DB0BC-72FC-45C7-90E4-D570D6CDA872;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;Ingresada;Por procesar; ;4000076749;21-01-2025;37437737;Confirmado;481988724;525002.57;Ingresada;Inbound no Cerrado
México;141318F2-B7B8-4A13-B15F-755113CC1C56;Factura;Sin errores;ALMART DISTRIBUIDORA DE PRODUCTOS NATURISTAS;9500116358;22-01-2025;Completa;Ingresada;Por procesar; ;4000076837;21-01-2025;37172969;Recibido;466063253;10198.21;Ingresada;Inbound no Cerrado
México;6c7671e4-7c33-4773-8a7f-54f1711bfe8b;Factura;Con alertas;ASSA ABLOY MEXICO;9500124017;21-01-2025;Incompleta;Por procesar;Por procesar; ;4000076868;17-01-2025;37075623;En progreso;481988724;279311.27;Por procesar;En curso FinOps - Asignar SAP SKU
México;ABAE23B9-B2D1-11EF-9FF9-3BAC2A19387F;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000067218;05-12-2024;34542293;Cerrado con cambios;466063253;669870.03;Error de contabilización;En curso FinOps - Pendiente de revisión
México;F8026875-A8BC-11EF-945F-E3CAEBCFF77C;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000067218;22-11-2024;33171626;Cerrado con cambios;466063253;817436.88;Error de contabilización;En curso FinOps - Pendiente de revisión
México;FCD5F7D5-A7A8-11EF-8E05-0BB84530A6E6;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000067218;20-11-2024;33171790;Cerrado con cambios;466063253;421849.21;Error de contabilización;En curso FinOps - Pendiente de revisión
México;BC715FD9-A66C-11EF-9C8F-1D09526AA4D1;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000067218;19-11-2024;33165234;Cerrado con cambios;466063253;361192.57;Error de contabilización;En curso FinOps - Pendiente de revisión
México;A6F6CA95-B52E-4733-80D7-01EDE3FA5928;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076919;21-01-2025;37173234;Recibido;466063253;349042.33;Ingresada;Inbound no Cerrado
México;43B2130F-A8B7-11EF-96F6-EFF0DD5F5531;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000068441;22-11-2024;33893681;Cerrado con cambios;466063253;385095.81;Error de contabilización;En curso FinOps - Pendiente de revisión
México;31BBE9EB-A295-11EF-864A-A78B5FE1E436;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000066305;14-11-2024;33172278;Cerrado con cambios;466063253;633327.17;Error de contabilización;En curso FinOps - Pendiente de revisión
México;31BBE95D-A295-11EF-BCD6-558D5B0CF422;Factura;Con alertas;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000066283;14-11-2024;33172161;Cerrado con cambios;466063253;802003.16;Error de contabilización;En curso FinOps - Pendiente de revisión
México;A2E801B1-4E4F-4B04-B414-6E004CF2CF29;Factura;Sin errores;MALTA TEXO DE MEXICO;9600026871;21-01-2025;Completa;Ingresada;Por procesar; ;4000076219;21-01-2025;37012744;Recibido;466063253;526697.17;Ingresada;Inbound no Cerrado
México;D8BA4CAF-A0FE-11EF-9E72-2FD748BA58A3;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000066283;12-11-2024;33164445;Cerrado con cambios;466063253;723205.74;Error de contabilización;En curso FinOps - Pendiente de revisión
México;A3EF79D7-A813-11EF-9DCC-03F06F2719E9;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización ";Con diferencias; ;4000065355;21-11-2024;33165576;Cerrado con cambios;466063253;380608.83;Error de contabilización;En curso FinOps - Pendiente de revisión
México;D8BA4C85-A0FE-11EF-8DDC-BB1EF231BAF5;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;"Error de contabilización El documento queda en estado parkeado por diferencia";Con diferencias; ;4000065355;12-11-2024;33216667;Cerrado con cambios;466063253;228636.63;Error de contabilización;En curso FinOps - Pendiente de revisión
México;A72339A8-9D2C-11EF-AA23-45D2C3599A50;Factura;Sin errores;EFFEM MEXICO INC Y COMPAÑIA;9500032654;21-01-2025;Completa;Contabilizada automáticamente;Conciliada; ;4000065980;07-11-2024;33172535;Cerrado con cambios;466063253;865566.66;Contabilizada automáticamente;Done - Contabilizada automáticamente
México;00b4fb96-453d-4905-aed5-62114027b75b;Factura;Sin errores;POSTEL DEVELOPMENT;9600021258;21-01-2025;Completa;Ingresada;Por procesar; ;4000075900;20-01-2025;37346434;Recibido;527927603;499150.32;Ingresada;Inbound no Cerrado
