Pais;Número de documento;Tipo de documento;Estado de validaciones;Proveedor;Proveedor ID;Fecha de recepción;Asignación de SAP SKU;Estado Integración SAP;Estado de conciliación;Estado de las solicitudes;Orden de compra;Fecha de emisión;Número de envío;Estado de envío;Monto;Estado SAP;Estado en Jira;Sub - Estado en Jira
México;99eec3bd-7e49-4cd4-a942-bdc7460dabbe;Factura;Sin errores;COMERCIO EXCELENTE NORTE SUR;9600026684;22-01-2025;Completa;Ingresada;Por procesar; ;4000075924;22-01-2025;36745988;Confirmado;383803.42;Ingresada;En procesamiento;Inbound no Cerrado
México;C583774F-E79F-40AD-BA59-91BBFCA0649D;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;Contabilización manual forzada;Con diferencias; ;4000070284;30-11-2024;35020621;Cerrado con cambios;57634.65;Contabilizada manualmente;Done;Contabilizada manualmente
México;C86C30AE-A1A7-4EF3-ADB4-7626D920B6A0;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000070284;30-11-2024;35020621;Cerrado con cambios;8170.49;Error de contabilización;En curso FinOps;Pendiente de revisión
México;8A26C41C-4312-4ABF-94AF-E234705BE488;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización
El documento queda en estado parkeado por diferencia";Con diferencias; ;4000071205;30-11-2024;34949401;Cerrado con cambios;582756.49;Error de contabilización;En curso FinOps;Pendiente de revisión
México;74C1FA26-8AC9-43D3-8B01-08EB36F63827;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;"Error de contabilización
";Con diferencias; ;4000071205;30-11-2024;34949401;Cerrado con cambios;59450.75;Error de contabilización;En curso FinOps;Pendiente de revisión
México;F0246C57-D8DF-11EF-834A-47FADE6AD0CE;Factura;Sin errores;JUGUETES FAMOSA;9500123969;22-01-2025;Completa;Ingresada;Por procesar; ;4000075093;22-01-2025;37350320;Confirmado;31691.2;Ingresada;En procesamiento;Inbound no Cerrado
México;3B7F0400-EE79-41B4-A8CE-8BE5977E1FB6;Factura;Sin errores;STAEDTLER DE MEXICO;9500141011;22-01-2025;Completa;Ingresada;Por procesar; ;4000076869;22-01-2025;37084014;Confirmado;7462.98;Ingresada;En procesamiento;Inbound no Cerrado
México;24E102B5-B480-499B-9048-73EB294DFAA4;Factura;Con alertas;BANDAI CORPORACION MEXICO;9500000398;22-01-2025;Incompleta;Por procesar;Por procesar; ;4000076167;14-01-2025;36809889;Confirmado;196209.84;Por procesar;En procesamiento;Inbound no Cerrado
México;8880A308-D43D-11EF-ADDC-D125C0397CA8;Nota de crédito;Con alertas;PLAYMOBIL MEXICO;9500000151;22-01-2025;Incompleta;Por procesar;Por procesar; ;4000074343;16-01-2025;36193830;Cerrado con cambios;27879.03;Por procesar;No aplica;No aplica
México;B06DB0BC-72FC-45C7-90E4-D570D6CDA872;Factura;Con alertas;KIMBERLY CLARK DE MEXICO;9699193001;22-01-2025;Completa;Ingresada;Por procesar; ;4000076749;21-01-2025;37437737;Confirmado;525002.57;Ingresada;En procesamiento;Inbound no Cerrado
